Password,Name,Gender,Student ID,Class,Major,Date of Enrollment ,Date of Graduation ,School,Student Type
123123,Yichang Zhang,Male,2020213362,2020215111,E-Commerce Engineering with Law ,202009,202407,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856413,吕淑珍,Female,2019213568,2019215104,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943871,杨秀娟,Female,2020213254,2020215106,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736549,邱红霞,Female,2019213665,2019215115,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235184,柳美华,Female,2020213569,2020215118,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401762,林晓燕,Female,2019213987,2019215121,IoT,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568942,沈玲玲,Female,2020213432,2020215111,E-Commerce,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694813,徐志强,Male,2019213765,2019215120,Telecom,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309762,郑智霞,Female,2020213901,2020215107,IoT,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865413,吴宏伟,Male,2019213654,2019215117,E-Commerce,Sep-19,Jun-23,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456,钟文娟,Female,2020213654,2020215120,Telecom,Sep-20,Jun-24,International School ,Full-time Undergraduate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
